teamId,playerId,playerName,Position,Age,Id
24,136742,Jan Bednarek,DEF,18,395
0,148503,Ollie Watkins,FWD,0,396
24,260592,Emiliano Buendia,AM,30,397
24,301440,Ezri Konsa,DEF,26,398
24,318449,John McGinn,MID,23,399
24,322043,Matty Cash,DEF,22,400
24,327682,Leon Bailey,AM,33,401
24,331790,Boubacar Kamara,MID,33,402
24,337883,Douglas Luiz,MID,27,403
24,369813,Jacob Ramsey,MID,28,404
0,41554,Robin Olsen,GK,0,405
24,433517,Jhon Duran,FWD,30,406
0,80767,Philippe Coutinho,AM,0,407
24,8166,Ashley Young,DEF,38,408
24,89925,Lucas Digne,DEF,28,409
24,91762,Danny Ings,FWD,25,410
26,108226,Mohamed Salah,AM,26,411
26,114147,Alisson Becker,GK,31,412
26,115726,Andy Robertson,DEF,29,413
26,115916,Fabinho,MID,30,414
26,136451,Joe Gomez,DEF,25,415
26,235755,Diogo Jota,FWD,34,416
0,243510,Naby Keita,MID,0,417
26,301455,Kostas Tsimikas,DEF,32,418
0,318871,Trent Alexander-Arnold,DEF,0,419
26,322176,Caoimhin Kelleher,GK,31,420
26,345957,Ibrahima Konate,DEF,26,421
26,352825,Cody Gakpo,AM,29,422
26,355354,Curtis Jones,MID,23,423
26,363982,Harvey Elliott,AM,26,424
26,377168,Luis Diaz,AM,25,425
0,381527,Nathaniel Phillips,DEF,0,426
26,400828,Darwin Nunez,FWD,18,427
26,401385,Fabio Carvalho,AM,21,428
26,430350,Ben Doak,AM,22,429
0,444540,Stefan Bajcetic,MID,0,430
26,450021,Bobby Clark,MID,27,431
26,4511,James Milner,MID,26,432
26,68659,Jordan Henderson,MID,27,433
26,74341,Joel Matip,DEF,27,434
0,74939,Thiago Alcantara,MID,0,435
26,84146,Alex Oxlade-Chamberlain,MID,30,436
0,95408,Virgil van Dijk,DEF,0,437
0,96182,Roberto Firmino,FWD,0,438
29,101955,Emerson,DEF,25,439
29,106086,Kurt Zouma,DEF,32,440
0,111372,Vladimir Coufal,DEF,0,441
29,125004,Maxwel Cornet,AM,34,442
0,137021,Said Benrahma,AM,0,443
0,143595,Tomas Soucek,MID,0,444
29,20973,Lukasz Fabianski,GK,20,445
29,23547,Angelo Ogbonna,DEF,35,446
0,255167,Thilo Kehrer,DEF,0,447
0,297203,Pablo Fornals,AM,0,448
29,302650,Gianluca Scamacca,FWD,31,449
29,319756,Lucas Paqueta,MID,30,450
29,322596,Jarrod Bowen,AM,24,451
29,332325,Declan Rice,MID,23,452
29,337428,Flynn Downes,MID,37,453
29,349484,Ben Johnson,DEF,22,454
0,362434,Nayef Aguerd,DEF,0,455
29,364018,Conor Coventry,MID,30,456
29,454820,Divin Mubama,FWD,23,457
29,68049,Aaron Cresswell,DEF,33,458
29,69517,Michail Antonio,FWD,32,459
29,73063,Craig Dawson,DEF,18,460
29,89998,Manuel Lanzini,AM,29,461
29,91762,Danny Ings,FWD,30,462
29,92516,Alphonse Areola,GK,30,463
0,101859,Pierre-Emile Hojbjerg,MID,0,464
30,103837,Ben Davies,DEF,23,465
30,117973,Eric Dier,DEF,23,466
30,236511,Clement Lenglet,DEF,27,467
30,25604,Hugo Lloris,GK,27,468
30,29796,Fraser Forster,GK,27,469
0,303096,Yves Bissouma,MID,0,470
0,303657,Rodrigo Bentancur,MID,0,471
0,317804,Richarlison,FWD,0,472
0,322611,Ryan Sessegnon,DEF,0,473
30,322655,Davinson Sanchez,DEF,21,474
30,323625,Arnaut Danjuma,AM,26,475
30,323663,Cristian Romero,DEF,26,476
30,328512,Emerson Royal,DEF,22,477
30,355855,Dejan Kulusevski,AM,26,478
30,362219,Djed Spence,DEF,21,479
0,362352,Pedro Porro,DEF,0,480
0,364215,Oliver Skipp,MID,0,481
30,368519,Bryan Gil,AM,30,482
30,384063,Japhet Tanganga,DEF,24,483
30,395511,Harvey White,MID,19,484
0,403859,Pape Matar Sarr,MID,0,485
30,437758,Matthew Craig,MID,36,486
30,479809,George Abbott,MID,26,487
30,70524,Ivan Perisic,DEF,36,488
30,83532,Harry Kane,FWD,29,489
0,91909,Son Heung-Min,AM,0,490
30,92508,Lucas Moura,AM,21,491
30,94042,Matt Doherty,DEF,24,492
31,107941,Michael Keane,DEF,28,493
31,110189,Jordan Pickford,GK,31,494
31,116317,Abdoulaye Doucoure,MID,30,495
0,119822,Neal Maupay,FWD,0,496
31,131464,James Tarkowski,DEF,24,497
31,131519,Dele Alli,AM,23,498
31,136824,Alex Iwobi,MID,27,499
31,136945,Demarai Gray,AM,28,500
31,141469,Dominic Calvert-Lewin,FWD,27,501
0,25964,Solomon Rondon,FWD,0,502
31,287504,Ben Godfrey,DEF,24,503
31,297544,Mason Holgate,DEF,25,504
0,316077,Tom Davies,MID,0,505
